start,end,break,exclude
0,20,False,False
20,40,False,False
40,60,False,False
60,80,False,False
80,100,False,False
100,120,False,False
120,140,False,False
140,160,False,False
160,180,False,False
180,200,False,False
200,220,False,False
220,240,False,False
240,260,False,False
260,280,False,False
280,300,False,False
300,320,False,False
320,340,False,False
340,360,False,False
360,380,False,False
380,400,False,False
400,420,False,False
420,440,False,False
440,460,False,False
460,480,False,False
480,500,False,False
500,520,False,False
520,540,False,False
540,560,False,False
560,580,False,False
580,600,False,False
600,620,False,False
620,640,False,False
640,660,False,False
660,680,False,False
680,700,False,False
700,720,False,False
720,740,False,False
740,760,False,False
760,780,False,False
780,800,False,False
800,820,False,False
820,840,False,False
840,860,False,False
860,880,False,False
880,900,False,False
900,920,False,False
920,940,False,False
940,960,False,False
960,980,False,False
980,1000,False,False
1000,1020,False,False
1020,1040,False,False
1040,1060,False,False
1060,1080,False,False
1080,1100,False,False
1100,1120,False,False
1120,1140,False,False
1140,1160,False,False
1160,1180,False,False
1180,1200,False,False
1200,1220,False,False
1220,1240,False,False
1240,1260,False,False
1260,1280,False,False
1280,1300,False,False
1300,1320,False,False
1320,1340,False,False
1340,1360,False,False
1360,1380,False,False
1380,1400,False,False
1400,1420,False,False
1420,1440,False,False
1440,1460,False,False
1460,1480,False,False
1480,1500,False,False
1500,1520,False,False
1520,1540,False,False
1540,1560,False,False
1560,1580,False,False
1580,1600,False,False
1600,1620,False,False
1620,1640,False,False
1640,1660,False,False
1660,1680,False,False
1680,1700,False,False
1700,1720,False,False
1720,1740,False,False
1740,1760,False,False
1760,1780,False,False
1780,1800,False,False
1800,1820,False,False
1820,1840,False,False
1840,1860,False,False
1860,1880,False,False
1880,1900,False,False
1900,1920,False,False
1920,1940,False,False
1940,1960,False,False
1960,1980,False,False
1980,2000,False,False
2000,2020,False,False
2020,2040,False,False
2040,2060,False,False
2060,2080,False,False
2080,2100,False,False
2100,2120,False,False
2120,2140,False,False
2140,2160,False,False
2160,2180,False,False
2180,2200,False,False
2200,2220,False,False
2220,2240,False,False
2240,2260,False,False
2260,2280,False,False
2280,2300,False,False
2300,2320,False,False
2320,2340,False,False
2340,2360,False,False
2360,2380,False,False
2380,2400,False,False
2400,2420,False,False
2420,2440,False,False
2440,2460,False,False
2460,2480,False,False
2480,2500,False,False
2500,2520,False,False
2520,2540,False,False
2540,2560,False,False
2560,2580,False,False
2580,2600,False,False
2600,2620,False,False
2620,2640,False,False
2640,2660,False,False
2660,2680,False,False
2680,2700,False,False
2700,2720,False,False
2720,2740,False,False
2740,2760,False,False
2760,2780,False,False
2780,2800,False,False
2800,2820,False,False
2820,2840,False,False
2840,2860,False,False
2860,2880,False,False
2880,2900,False,False
2900,2920,False,False
2920,2940,False,False
2940,2960,False,False
2960,2980,False,False
2980,3000,False,False
3000,3020,False,False
3020,3040,False,False
